Crit_Min,CRIT_MIN,crit_min,IMPORTED_AS
Aluminum,ALUMINUM,aluminum,ALUMINUM (METAL)
Aluminum,ALUMINUM,aluminum,ALUMINUM (ALUMINA)
Aluminum,ALUMINUM,aluminum,ALUMINUM (BAUXITE)
Antimony,ANTIMONY,antimony,ANTIMONY
Arsenic,ARSENIC,arsenic,ARSENIC
Barite,BARITE,barite,BARITE
Beryllium,BERYLLIUM,beryllium,BERYLLIUM
Bismuth,BISMUTH,bismuth,BISMUTH
Cerium,CERIUM,cerium,RARE EARTHS
Cesium,CESIUM,cesium,CESIUM
Chromium,CHROMIUM,chromium,CHROMIUM
Cobalt,COBALT,cobalt,COBALT
Dysprosium,DYSPROSIUM,dysprosium,RARE EARTHS
Erbium,ERBIUM,erbium,RARE EARTHS
Europium,EUROPIUM,europium,RARE EARTHS
Fluorspar,FLUORSPAR,fluorspar,FLUORSPAR
Gadolinium,GADOLINIUM,gadolinium,RARE EARTHS
Gallium,GALLIUM,gallium,GALLIUM
Germanium,GERMANIUM,germanium,GERMANIUM
Graphite,GRAPHITE,graphite,GRAPHITE
Hafnium,HAFNIUM,hafnium,HAFNIUM
Holmium,HOLMIUM,holmium,RARE EARTHS
Indium,INDIUM,indium,INDIUM
Iridium,IRIDIUM,iridium,PLATINUM GROUP METALS
Lanthanum,LANTHANUM,lanthanum,RARE EARTHS
Lithium,LITHIUM,lithium,LITHIUM
Lutetium,LUTETIUM,lutetium,RARE EARTHS
Magnesium,MAGNESIUM,magnesium,MAGNESIUM (COMPOUNDS)
Magnesium,MAGNESIUM,magnesium,MAGNESIUM (METAL)
Manganese,MANGANESE,manganese,MANGANESE
Neodymium,NEODYMIUM,neodymium,RARE EARTHS
Nickel,NICKEL,nickel,NICKEL
Niobium,NIOBIUM,niobium,NIOBIUM
Palladium,PALLADIUM,palladium,PALLADIUM
Platinum,PLATINUM,platinum,PLATINUM
Praseodymium,PRASEODYMIUM,praseodymium,RARE EARTHS
Rhodium,RHODIUM,rhodium,PLATINUM GROUP METALS
Rubidium,RUBIDIUM,rubidium,RUBIDIUM
Ruthenium,RUTHENIUM,ruthenium,PLATINUM GROUP METALS
Samarium,SAMARIUM,samarium,RARE EARTHS
Scandium,SCANDIUM,scandium,SCANDIUM
Tantalum,TANTALUM,tantalum,TANTALUM
Tellurium,TELLURIUM,tellurium,TELLURIUM
Terbium,TERBIUM,terbium,RARE EARTHS
Thulium,THULIUM,thulium,RARE EARTHS
Tin,TIN,tin,TIN
Titanium,TITANIUM,titanium,TITANIUM (SPONGE)
Titanium,TITANIUM,titanium,TITANIUM (MINERAL CONCENTRATES)
Tungsten,TUNGSTEN,tungsten,TUNGSTEN
Vanadium,VANADIUM,vanadium,VANADIUM
Ytterbium,YTTERBIUM,ytterbium,RARE EARTHS
Yttrium,YTTRIUM,yttrium,YTTRIUM
Zinc,ZINC,zinc,ZINC
Zirconium,ZIRCONIUM,zirconium,ZIRCONIUM
