Series Name,Series Code,Country Name,Country Code,2020 [2020],2021 [2021],2022 [2022],2023 [2023],2024 [2024],2025 [2025]
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Advanced economies,AME,-4.3000002,5.4000001,2.5999999,0.69999999,1.2,2.2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Afghanistan,AFG,-2.4000001,-20.700001,..,..,..,..
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Albania,ALB,-3.3,8.8999996,4.8000002,2.8,3.3,3.3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Algeria,DZA,-5.0999999,3.4000001,3.2,1.7,2.4000001,2.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Angola,AGO,-5.5999999,1.1,3.5,2.5999999,3.3,3.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Argentina,ARG,-9.8999996,10.4,5.1999998,-2,2.3,2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Armenia,ARM,-7.1999998,5.6999998,12.6,4.4000001,4.8000002,5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Azerbaijan,AZE,-4.1999998,5.5999999,4.5999999,2.2,2.5,2.5999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,"Bahamas, The",BHS,-23.799999,13.7,11,4.3000002,2,1.9
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bahrain,BHR,-4.5999999,2.7,4.9000001,2.7,3.2,3.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bangladesh,BGD,3.4000001,6.9000001,7.0999999,5.1999998,6.1999998,6.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Barbados,BRB,-13.7,0.69999999,10,4.9000001,3.9000001,3.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Belarus,BLR,-0.69999999,2.4000001,-4.6999998,0.60000002,1.4,1.3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Belize,BLZ,-13.4,15.2,9.6000004,2.4000001,2,2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Benin,BEN,3.8,7.1999998,6,6,5.9000001,6.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bhutan,BTN,-2.3,-3.3,4.3000002,4.5,3.0999999,4.3000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bolivia,BOL,-8.6999998,6.0999999,3.0999999,2.5,2,2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bosnia and Herzegovina,BIH,-3,7.4000001,3.9000001,2.5,3,3.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Botswana,BWA,-8.6999998,11.8,6.5,4,4,4
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Brazil,BRA,-3.3,5,2.9000001,1.2,1.4,2.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bulgaria,BGR,-4,7.5999999,3.4000001,1.5,2.8,3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Burkina Faso,BFA,1.9,6.9000001,2.5,4.3000002,4.8000002,5.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Burundi,BDI,0.30000001,3.0999999,1.8,3,3.9000001,4.0999999
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Cabo Verde,CPV,-14.8,7,15,4.8000002,5.4000001,5.3000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Cambodia,KHM,-3.0999999,3,5.1999998,5.5,6.0999999,6.3000002
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Cameroon,CMR,0.5,3.5999999,3.4000001,3.9000001,4.1999998,4.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Central African Republic,CAF,1,1,0,3,3.8,3.8
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Chad,TCD,-1.6,-1.2,2.2,3.2,3.4000001,3.0999999
